x,y,z,inflammatory_signal,ecm
90,-670,0,0,10
110,-670,0,0,10
130,-670,0,0,10
150,-670,0,0,10
170,-670,0,0,10
190,-670,0,0,10
210,-670,0,0,10
230,-670,0,0,10
250,-670,0,0,10
270,-670,0,0,10
290,-670,0,0,10
310,-670,0,0,10
330,-670,0,0,10
350,-670,0,0,10
370,-670,0,0,10
390,-670,0,0,10
410,-670,0,0,10
430,-670,0,0,10
450,-670,0,0,10
470,-670,0,0,10
490,-670,0,0,10
510,-670,0,0,10
530,-670,0,0,10
550,-670,0,0,10
570,-670,0,0,10
590,-670,0,0,10
610,-670,0,0,10
630,-670,0,0,10
650,-670,0,0,10
670,-670,0,0,10
690,-670,0,0,10
710,-670,0,0,10
730,-670,0,0,10
750,-670,0,0,10
770,-670,0,0,10
790,-670,0,0,10
-790,-650,0,0,10
-770,-650,0,0,10
-750,-650,0,0,10
-730,-650,0,0,10
-710,-650,0,0,10
-690,-650,0,0,10
-670,-650,0,0,10
-650,-650,0,0,10
-630,-650,0,0,10
-610,-650,0,0,10
-590,-650,0,0,10
-570,-650,0,0,10
-550,-650,0,0,10
-530,-650,0,0,10
-510,-650,0,0,10
-490,-650,0,0,10
-470,-650,0,0,10
-450,-650,0,0,10
-430,-650,0,0,10
-410,-650,0,0,10
-390,-650,0,0,10
-370,-650,0,0,10
-350,-650,0,0,10
-330,-650,0,0,10
-310,-650,0,0,10
-290,-650,0,0,10
-270,-650,0,0,10
-250,-650,0,0,10
-230,-650,0,0,10
-210,-650,0,0,10
-190,-650,0,0,10
-170,-650,0,0,10
-150,-650,0,0,10
-130,-650,0,0,10
-110,-650,0,0,10
-90,-650,0,0,10
-70,-650,0,0,10
-50,-650,0,0,10
-30,-650,0,0,10
-10,-650,0,0,10
10,-650,0,0,10
30,-650,0,0,10
50,-650,0,0,10
70,-650,0,0,10
90,-650,0,0,10
110,-650,0,0,10
130,-650,0,0,10
150,-650,0,0,10
170,-650,0,0,10
190,-650,0,0,10
210,-650,0,0,10
230,-650,0,0,10
250,-650,0,0,10
270,-650,0,0,10
290,-650,0,0,10
310,-650,0,0,10
330,-650,0,0,10
350,-650,0,0,10
370,-650,0,0,10
390,-650,0,0,10
410,-650,0,0,10
430,-650,0,0,10
450,-650,0,0,10
470,-650,0,0,10
490,-650,0,0,10
510,-650,0,0,10
530,-650,0,0,10
550,-650,0,0,10
570,-650,0,0,10
590,-650,0,0,10
610,-650,0,0,10
630,-650,0,0,10
650,-650,0,0,10
670,-650,0,0,10
690,-650,0,0,10
710,-650,0,0,10
730,-650,0,0,10
750,-650,0,0,10
770,-650,0,0,10
790,-650,0,0,10
-790,-630,0,0,10
-770,-630,0,0,10
-750,-630,0,0,10
-730,-630,0,0,10
-710,-630,0,0,10
-690,-630,0,0,10
-670,-630,0,0,10
-650,-630,0,0,10
-630,-630,0,0,10
-610,-630,0,0,10
-590,-630,0,0,10
-570,-630,0,0,10
-550,-630,0,0,10
-530,-630,0,0,10
-510,-630,0,0,10
-490,-630,0,0,10
-470,-630,0,0,10
-450,-630,0,0,10
-430,-630,0,0,10
-410,-630,0,0,10
-390,-630,0,0,10
-370,-630,0,0,10
-350,-630,0,0,10
-330,-630,0,0,10
-310,-630,0,0,10
-290,-630,0,0,10
-270,-630,0,0,10
-250,-630,0,0,10
-230,-630,0,0,10
-210,-630,0,0,10
-190,-630,0,0,10
-170,-630,0,0,10
-150,-630,0,0,10
-130,-630,0,0,10
-110,-630,0,0,10
-90,-630,0,0,10
-70,-630,0,0,10
-50,-630,0,0,10
-30,-630,0,0,10
-10,-630,0,0,10
10,-630,0,0,10
30,-630,0,0,10
50,-630,0,0,10
70,-630,0,0,10
90,-630,0,0,10
110,-630,0,0,10
130,-630,0,0,10
150,-630,0,0,10
170,-630,0,0,10
190,-630,0,0,10
210,-630,0,0,10
230,-630,0,0,10
250,-630,0,0,10
270,-630,0,0,10
290,-630,0,0,10
310,-630,0,0,10
330,-630,0,0,10
350,-630,0,0,10
370,-630,0,0,10
390,-630,0,0,10
410,-630,0,0,10
430,-630,0,0,10
450,-630,0,0,10
470,-630,0,0,10
490,-630,0,0,10
510,-630,0,0,10
530,-630,0,0,10
550,-630,0,0,10
570,-630,0,0,10
590,-630,0,0,10
610,-630,0,0,10
630,-630,0,0,10
650,-630,0,0,10
670,-630,0,0,10
690,-630,0,0,10
710,-630,0,0,10
730,-630,0,0,10
750,-630,0,0,10
770,-630,0,0,10
790,-630,0,0,10
-790,-610,0,0,10
-770,-610,0,0,10
-750,-610,0,0,10
-730,-610,0,0,10
-710,-610,0,0,10
-690,-610,0,0,10
-670,-610,0,0,10
-650,-610,0,0,10
-630,-610,0,0,10
-610,-610,0,0,10
-590,-610,0,0,10
-570,-610,0,0,10
-550,-610,0,0,10
-530,-610,0,0,10
-510,-610,0,0,10
-490,-610,0,0,10
-470,-610,0,0,10
-450,-610,0,0,10
-430,-610,0,0,10
-410,-610,0,0,10
-390,-610,0,0,10
-370,-610,0,0,10
-350,-610,0,0,10
-330,-610,0,0,10
-310,-610,0,0,10
-290,-610,0,0,10
-270,-610,0,0,10
-250,-610,0,0,10
-230,-610,0,0,10
-210,-610,0,0,10
-190,-610,0,0,10
-170,-610,0,0,10
-150,-610,0,0,0
-130,-610,0,0,0
-110,-610,0,0,0
-90,-610,0,0,0
-70,-610,0,0,0
-50,-610,0,0,0
-30,-610,0,0,0
-10,-610,0,0,0
10,-610,0,0,0
30,-610,0,0,0
50,-610,0,0,0
70,-610,0,0,0
90,-610,0,0,0
110,-610,0,0,0
130,-610,0,0,0
150,-610,0,0,10
170,-610,0,0,10
190,-610,0,0,10
210,-610,0,0,10
230,-610,0,0,10
250,-610,0,0,10
270,-610,0,0,10
290,-610,0,0,10
310,-610,0,0,10
330,-610,0,0,10
350,-610,0,0,10
370,-610,0,0,10
390,-610,0,0,10
410,-610,0,0,10
430,-610,0,0,10
450,-610,0,0,10
470,-610,0,0,10
490,-610,0,0,10
510,-610,0,0,10
530,-610,0,0,10
550,-610,0,0,10
570,-610,0,0,10
590,-610,0,0,10
610,-610,0,0,10
630,-610,0,0,10
650,-610,0,0,10
670,-610,0,0,10
690,-610,0,0,10
710,-610,0,0,10
730,-610,0,0,10
750,-610,0,0,10
770,-610,0,0,10
790,-610,0,0,10
-790,-590,0,0,10
-770,-590,0,0,10
-750,-590,0,0,10
-730,-590,0,0,10
-710,-590,0,0,10
-690,-590,0,0,10
-670,-590,0,0,10
-650,-590,0,0,10
-630,-590,0,0,10
-610,-590,0,0,10
-590,-590,0,0,10
-570,-590,0,0,10
-550,-590,0,0,10
-530,-590,0,0,10
-510,-590,0,0,10
-490,-590,0,0,10
-470,-590,0,0,10
-450,-590,0,0,10
-430,-590,0,0,10
-410,-590,0,0,10
-390,-590,0,0,10
-370,-590,0,0,10
-350,-590,0,0,10
-330,-590,0,0,10
-310,-590,0,0,10
-290,-590,0,0,10
-270,-590,0,0,10
-250,-590,0,0,10
-230,-590,0,0,10
-210,-590,0,0,0
-190,-590,0,0,0
-170,-590,0,0,0
-150,-590,0,0,0
-130,-590,0,0,0
-110,-590,0,0,0
-90,-590,0,0,0
-70,-590,0,0,0
-50,-590,0,0,0
-30,-590,0,0,0
-10,-590,0,0,0
10,-590,0,0,0
30,-590,0,0,0
50,-590,0,0,0
70,-590,0,0,0
90,-590,0,0,0
110,-590,0,0,0
130,-590,0,0,0
150,-590,0,0,0
170,-590,0,0,0
190,-590,0,0,0
210,-590,0,0,10
230,-590,0,0,10
250,-590,0,0,10
270,-590,0,0,10
290,-590,0,0,10
310,-590,0,0,10
330,-590,0,0,10
350,-590,0,0,10
370,-590,0,0,10
390,-590,0,0,10
410,-590,0,0,10
430,-590,0,0,10
450,-590,0,0,10
470,-590,0,0,10
490,-590,0,0,10
510,-590,0,0,10
530,-590,0,0,10
550,-590,0,0,10
570,-590,0,0,10
590,-590,0,0,10
610,-590,0,0,10
630,-590,0,0,10
650,-590,0,0,10
670,-590,0,0,10
690,-590,0,0,10
710,-590,0,0,10
730,-590,0,0,10
750,-590,0,0,10
770,-590,0,0,10
790,-590,0,0,10
-790,-570,0,0,10
-770,-570,0,0,10
-750,-570,0,0,10
-730,-570,0,0,10
-710,-570,0,0,10
-690,-570,0,0,10
-670,-570,0,0,10
-650,-570,0,0,10
-630,-570,0,0,10
-610,-570,0,0,10
-590,-570,0,0,10
-570,-570,0,0,10
-550,-570,0,0,10
-530,-570,0,0,10
-510,-570,0,0,10
-490,-570,0,0,10
-470,-570,0,0,10
-450,-570,0,0,10
-430,-570,0,0,10
-410,-570,0,0,10
-390,-570,0,0,10
-370,-570,0,0,10
-350,-570,0,0,10
-330,-570,0,0,10
-310,-570,0,0,10
-290,-570,0,0,10
-270,-570,0,0,10
-250,-570,0,0,0
-230,-570,0,0,0
