0: 2023
586: 1814,755,1193,1398,1145,1091,394
587: 465,963,340,1607,1210,735,1230
588: 595,1383,142,441,1890,611,537,501,1649
589: 264,2009,875,1587,1282,1339
590: 1262,901,239,1126,1300,704,315
591: 1465,266,321,563,461,1267
592: 210,493,1419,1790,1261,1734,1913,1026,377
593: 221,234,1443,1645,1623,112,309,931
594: 1949,514,597,865,337,1409,1492,1642,1286
595: 1383,588,297,142,331,850,418,1649,99,1355
596: 437,613,6,808
597: 1949,1487,594,1642,1717,1738
598: 277,916,878,1039,1973,1224,1590
599: 228,1688,947,390,413,1720,1168
600: 1771,1328,1312,2020,1095,1536,1903
601: 53,258,1713,641,1090,602,746
602: 1658,1171,1505,140,746,1713,53,258,601
603: 1640,1333,233,943,950,472,606,1928,1063,1889,1562
604: 479,1374,1500,1656,202
605: 32,335,982,1131,1412,40,1613,459
606: 83,1593,1687,472,558,603,1063,1889
607: 307,1408,1773,897,507,1155,1582
608: 858,1998,1447,498,616,328,1971
609: 1426,674,832,1989,1504,1035,16
610: 1693,1879,1110,1423,698,1175
611: 1735,441,1890,1792,371,955,1636,588
612: 1201,1010,655,1001,553,845,758,407
613: 1136,6,743,798,808,596
614: 561,750,1226,657,1968,1334,1433
615: 1093,1788,1482,244,712
616: 608,1998,328,1302,535,581,1971
617: 207,948,1244,755,1922,357,1525,949
618: 200,196,1191,857,17,673,1831,68,1119
619: 946,706,1248,19,282,364
620: 1618,833,265,968,1373,1729,569
621: 797,1008,167,1298,1413,101,768
622: 1644,71,1322,1589,539,39
623: 1906,951,133,699,749,1777,752,1780
624: 27,1216,183,1234
625: 1424,466,253,1846,1954,733,709,410
626: 1747,818,1468,404,85,810,1306
627: 983,459,1140,335,1131,944,1787
628: 956,751,722,480,1522,51,1251,940
629: 671,1432,570,1708,1645,247,69,1105,1711
630: 1765,1852,60,1406,1839,1499,945
631: 684,1910,659,383,1578
632: 526,1973,916
633: 1338,33,1266,818,1517,1697,852,848,1178
634: 1803,1715,678,37,1742
635: 742,7,766,1434,1061,1947,1384,1142
636: 773,731,269,745,1783,579,386
637: 70,475,1172,1778,29,1137,1853
638: 1074,1103,1769,161,585,1390
639: 1347,1900,326,889,566,1494,226,182,262
640: 1936,976,1861,1823,395,863
641: 960,718,1090,53,601,838
642: 1327,1837,1990,1798,1194,965
643: 1062,402,888,1120,1541,1898,1579,1751,1109,1871
1982: 1434,456,970,106,274,1006
645: 1469,345,2018,1192,114,246,981
646: 1677,1349,1772,1647,556,1332
647: 1760,1881,500,1988,1588,687,1703,34,1051
648: 1014,426,580,16,822,1323,887
649: 1749,1390,1046,2000,835,696,147,1667
650: 917,582,1872,1976,184,1479,1574,1084,1307,519
651: 1758,1564,1532,1563
652: 1967,679,1099,538,470,921,824,1154
653: 1145,360,394,1935,1681,1436,1698,1795
654: 439,959,1899,346,1635,1440
655: 1201,1104,1010,399,612,1495,242,1964,985,407
656: 1335,1664,65,1116,1828
657: 1059,1819,1968,1291,730,1433,614
658: 461,1423,1970,1927,237,1955
659: 631,1910,1414,383,1855,435
660: 934,1019,20,1080,1714,530,773,166,1321,241,700
